CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T06:56:12,18 SPCS,XJS E,2020-014C,EARTH,TEME,UTC,SGP4,2021-11-01T04:18:32.000256,15.30945129,0.0004928,35.0145,103.3443,195.4725,143.017,0,U,45251,999,9497,0.00016678,0.00005081,0,6851.128,94.06,476.369,469.617,PAYLOAD,LARGE,PRC,2020,XSC,,3195345,188617583,0 XJS E,1 45251U 20014C   21305.17953704  .00005081  00000-0  16678-3 0  9996,2 45251  35.0145 103.3443 0004928 195.4725 143.0170 15.30945129 94975
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T06:56:12,18 SPCS,CZ-2D R/B,2020-014D,EARTH,TEME,UTC,SGP4,2021-11-01T02:22:47.864640,15.33765878,0.000528,35.0026,93.481,188.4543,171.6087,0,U,45252,999,9507,0.00052358,0.00017561,0,6842.726,93.887,468.204,460.978,ROCKET BODY,LARGE,PRC,2020,XSC,,3195327,188617347,0 CZ-2D R/B,1 45252U 20014D   21305.09916510  .00017561  00000-0  52358-3 0  9993,2 45252  35.0026  93.4810 0005280 188.4543 171.6087 15.33765878 95073
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T06:56:12,18 SPCS,XJS F,2020-014E,EARTH,TEME,UTC,SGP4,2021-10-31T21:09:00.190944,15.30959699,0.000607,35.0138,105.2185,140.4998,344.662,0,U,45253,999,9493,0.00016023,0.00004883,0,6851.085,94.059,477.108,468.791,PAYLOAD,LARGE,PRC,2020,XSC,,3195313,188616617,0 XJS F,1 45253U 20014E   21304.88125221  .00004883  00000-0  16023-3 0  9993,2 45253  35.0138 105.2185 0006070 140.4998 344.6620 15.30959699 94937
2,GENERATED VIA SPACE-TRACK.ORG API,2021-10-31T18:07:15,18 SPCS,MERIDIAN 9,2020-015A,EARTH,TEME,UTC,SGP4,2021-10-31T01:35:33.906624,2.00596799,0.6913173,63.0228,150.2403,294.6301,326.4303,0,U,45254,999,1240,0,0.00000288,0,26557.418,717.858,38538.885,1819.68,PAYLOAD,LARGE,CIS,2020,PKMTR,,3194431,188570092,0 MERIDIAN 9,1 45254U 20015A   21304.06636466  .00000288  00000-0  00000-0 0  9993,2 45254  63.0228 150.2403 6913173 294.6301 326.4303  2.00596799 12408
2,GENERATED VIA SPACE-TRACK.ORG API,2021-10-30T18:17:17,18 SPCS,FREGAT R/B,2020-015B,EARTH,TEME,UTC,SGP4,2021-10-29T23:17:48.292512,1.99832437,0.6981371,63.0469,148.4127,294.8919,10.12,0,U,45255,999,1236,0,-0.00000948,0,26625.096,720.604,38834.929,1658.994,ROCKET BODY,LARGE,CIS,2020,PKMTR,,3192905,188514142,0 FREGAT R/B,1 45255U 20015B   21302.97069783 -.00000948  00000-0  00000-0 0  9998,2 45255  63.0469 148.4127 6981371 294.8919  10.1200  1.99832437 12367
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T06:56:12,18 SPCS,HARP,1998-067QZ,EARTH,TEME,UTC,SGP4,2021-10-31T18:24:39.978432,15.6521813,0.0007038,51.6427,359.1896,53.0541,307.1098,0,U,45256,999,9657,0.0006901,0.00069862,0,6750.748,92,377.365,367.862,PAYLOAD,SMALL,US,1998,TTMTR,,3195338,188617569,0 HARP,1 45256U 98067QZ  21304.76712938  .00069862  00000-0  69010-3 0  9995,2 45256  51.6427 359.1896 0007038  53.0541 307.1098 15.65218130 96573
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,OBJECT RA,1998-067RA,EARTH,TEME,UTC,SGP4,2021-10-31T21:16:56.922816,15.628529,0.0007144,51.6381,1.3677,53.4007,306.7644,0,U,45257,999,9655,0.00051586,0.00047271,0,6757.558,92.139,384.25,374.595,TBA,SMALL,TBD,1998,TTMTR,,3194950,188604737,0 OBJECT RA,1 45257U 98067RA  21304.88676994  .00047271  00000-0  51586-3 0  9999,2 45257  51.6381   1.3677 0007144  53.4007 306.7644 15.62852900 96551
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T06:56:12,18 SPCS,PHOENIX,1998-067RB,EARTH,TEME,UTC,SGP4,2021-10-31T21:37:13.893600,15.6068462,0.0006337,51.6391,4.4655,38.0805,322.0635,0,U,45258,999,9648,0.00043181,0.00036209,0,6763.815,92.267,389.967,381.394,PAYLOAD,SMALL,US,1998,TTMTR,,3195298,188616891,0 PHOENIX,1 45258U 98067RB  21304.90085525  .00036209  00000-0  43181-3 0  9998,2 45258  51.6391   4.4655 0006337  38.0805 322.0635 15.60684620 96484
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,OBJECT RC,1998-067RC,EARTH,TEME,UTC,SGP4,2021-10-31T16:26:20.638176,15.7186738,0.0007441,51.6365,351.7413,44.8452,315.3146,0,U,45259,999,9666,0.0007643,0.00102298,0,6731.697,91.611,358.571,348.553,TBA,SMALL,TBD,1998,TTMTR,,3194950,188605733,0 OBJECT RC,1 45259U 98067RC  21304.68496109  .00102298  00000-0  76430-3 0  9993,2 45259  51.6365 351.7413 0007441  44.8452 315.3146 15.71867380 96666
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T06:56:12,18 SPCS,CRYOCUBE,1998-067RD,EARTH,TEME,UTC,SGP4,2021-11-01T04:21:55.189728,15.88878217,0.0010419,51.6317,341.4587,42.4994,317.6816,0,U,45260,999,9685,0.0014899,0.00431146,0.000079745,6683.564,90.63,312.392,298.465,PAYLOAD,SMALL,US,1998,TTMTR,,3195333,188616801,0 CRYOCUBE,1 45260U 98067RD  21305.18188877  .00431146  79745-4  14899-2 0  9994,2 45260  51.6317 341.4587 0010419  42.4994 317.6816 15.88878217 96856
